INFO 2026-03-11 20:05:37,297 autoreload 8656 7236 Watching for file changes with StatReloader
INFO 2026-03-11 20:06:03,146 autoreload 8656 7236 D:\REMS-main\backend\backend\settings.py changed, reloading.
INFO 2026-03-11 20:06:09,510 autoreload 8012 4464 Watching for file changes with StatReloader
INFO 2026-03-11 20:06:37,023 autoreload 8012 4464 D:\REMS-main\backend\attendance\models.py changed, reloading.
INFO 2026-03-11 20:06:43,937 autoreload 8884 8912 Watching for file changes with StatReloader
INFO 2026-03-11 20:07:07,515 autoreload 8884 8912 D:\REMS-main\backend\sessions\models.py changed, reloading.
INFO 2026-03-11 20:07:15,259 autoreload 11164 8964 Watching for file changes with StatReloader
INFO 2026-03-11 20:07:32,277 autoreload 11164 8964 D:\REMS-main\backend\sessions\models.py changed, reloading.
INFO 2026-03-11 20:07:37,665 autoreload 12752 8308 Watching for file changes with StatReloader
INFO 2026-03-11 20:10:14,815 autoreload 12752 8308 D:\REMS-main\backend\attendance\views.py changed, reloading.
INFO 2026-03-11 20:10:19,736 autoreload 12980 9556 Watching for file changes with StatReloader
INFO 2026-03-11 20:10:38,260 autoreload 12980 9556 D:\REMS-main\backend\reports\views.py changed, reloading.
INFO 2026-03-11 20:10:42,623 autoreload 2292 14324 Watching for file changes with StatReloader
INFO 2026-03-11 20:11:15,770 autoreload 2292 14324 D:\REMS-main\backend\sessions\services.py changed, reloading.
INFO 2026-03-11 20:11:20,816 autoreload 9144 11184 Watching for file changes with StatReloader
INFO 2026-03-11 20:12:24,664 autoreload 9144 11184 D:\REMS-main\backend\sessions\services.py changed, reloading.
INFO 2026-03-11 20:12:29,322 autoreload 10844 12604 Watching for file changes with StatReloader
INFO 2026-03-11 20:22:26,758 autoreload 10844 12604 D:\REMS-main\backend\attendance\views.py changed, reloading.
INFO 2026-03-11 20:22:33,709 autoreload 10668 9472 Watching for file changes with StatReloader
INFO 2026-03-11 20:27:14,610 autoreload 10668 9472 D:\REMS-main\backend\sessions\views.py changed, reloading.
INFO 2026-03-11 20:27:21,475 autoreload 5248 12040 Watching for file changes with StatReloader
